Which are your favorite µ's songs from Love Live! School Idol Project season 1?,Which are your favorite µ's songs from Love Live! School Idol Project Season 2?,Which are your favorite µ's songs from Love Live! The School Idol Movie?,Which are your favorite non-insert µ's songs?,Which are your favorite BiBi songs?,Which are your favorite lily white songs?,Which are your favorite Printemps songs?,Which are your favorite Love Live! small group songs?,Which are your favorite Love Live! solo songs?,Which is your favorite A-RISE song?,"Out of every song from Love Live!, which is your favorite?",Which is your favorite Love Live! MV?,Which µ's member is your favorite singer?,Which are your favorite Aqours songs from Love Live! Sunshine!! season 1?,Which are your favorite Aqours songs from Love Live! Sunshine!! season 2?,Which are your favorite Aqours songs from Love Live! The School Idol Movie: Over The Rainbow?,Which are your favorite non-insert Aqours songs?,Which are your favorite Guilty Kiss songs?,Which are your favorite AZALEA songs?,Which are your favorite CYaRon! songs?,Which are your favorite Love Live! Sunshine!! duets/trios?,Which are your favorite Love Live! Sunshine!! solo songs?,Which is your favorite Saint Snow song?,"Out of every song from Love Live! Sunshine!!, which is your favorite?",Which is your favorite Love Live! Sunshine!! MV?,Which Aqours member is your favorite singer?,Which is your favorite PERFECT Dream Project song?,Which PERFECT Dream Project member is your favorite singer?
START:DASH!!,Snow halation,Bokutachi wa Hitotsu no Hikari,"Arashi no Naka no Koi dakara, Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, Super LOVE=Super LIVE!","PSYCHIC FIRE, Sakkaku CROSSROADS","Binetsu Kara Mystery, Omoide Ijou ni Naritakute, Otohime Heart de Love Kyuuden","Love marginal, NO EXIT ORION","Beat in Angel, Soldier game, Zurui yo Magnetic today","Arifureta Kanashimi no Hate, Daring!!, Spicaterrible, Watashitachi wa Mirai no Hana, Yume Naki Yume wa Yume ja nai",Shocking Party,Arashi no Naka no Koi dakara,"Angelic Angel, Bokura wa Ima no Naka de, Bokutachi wa Hitotsu no Hikari, Donna Toki mo Zutto, Snow halation, Sore wa Bokutachi no Kiseki",Umi Sonoda (VA Suzuko Mimori),Omoi yo Hitotsu ni Nare,Awaken the power,Hop? Stop? Nonstop!,"HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, Thank you, FRIENDS!!, Thrilling?One Way",Guilty Eyes Fever,Torikoriko PLEASE!!,Genki Zenkai DAY! DAY! DAY!,"G Senjou no Cinderella, Hajimari Road",WHITE FIRST LOVE,DROPOUT!?,Awaken the power,"Awaken the power, HAPPY PARTY TRAIN, Kimi no Kokoro wa Kagayaiteru kai?, Koi ni Naritai AQUARIUM, Mijuku DREAMER",Dia Kurosawa (VA Komiya Arisa),CHASE!,Setsuna Yuki (VA Tomori Kusunoki)
"Aishiteru Banzai!, Bokura wa Ima no Naka de","Oh,Love&Peace!, Snow halation",SUNNY DAY SONG,"Super LOVE=Super LIVE!, Yuujou No Change","Cutie Panther, Love Novels, PSYCHIC FIRE",,,"Beat in Angel, Kokuhaku Biyori, desu!, Listen to my heart!!","Junai Lens, Koi no Signal Rin rin rin!, Nawatobi, Niko puri?Joshi dou, Yume Naki Yume wa Yume ja nai",Shocking Party,Super LOVE=Super LIVE!,,Rin Hoshizora (VA Riho Iida),"Aozora Jumping Heart, MIRAI TICKET","Awaken the power, WATER BLUE NEW WORLD",Hop? Stop? Nonstop!,"HAPPY PARTY TRAIN, Jingle Bells ga Tomaranai, Step! ZERO to ONE","Kowareyasuki, Strawberry Trapper",Torikoriko PLEASE!!,Genki Zenkai DAY! DAY! DAY!,"G Senjou no Cinderella, Waku-Waku-Week!",Oyasuminasan!,DROPOUT!?,Oyasuminasan!,,Hanamaru Kunikida (Va Takatsuki Kanako),Doki Pipo ? Emotion,
"No brand girls, START:DASH!!","Snow halation, Yume no Tobira",??HEARTBEAT,Music S.T.A.R.T!!,"Cutie Panther, PSYCHIC FIRE, Trouble Busters","Futari Happiness, Shunjou Romantic","NO EXIT ORION, Puwa Puwa-O!","Beat in Angel, Soldier game","Blueberry?Train, Kodoku na Heaven, Koi no Signal Rin rin rin!, Watashitachi wa Mirai no Hana",Private Wars,Watashitachi wa Mirai no Hana,"No brand girls, ??HEARTBEAT",Hanayo Koizumi (VA Yurika Kubo),,WATER BLUE NEW WORLD,,Jingle Bells ga Tomaranai,Guilty Eyes Fever,,,"Hajimari Road, Natsu e no Tobira Never end ver.","One More Sunshine Story, Oyasuminasan!",Believe again,Hajimari Road,WATER BLUE NEW WORLD,Hanamaru Kunikida (Va Takatsuki Kanako),,
"Aishiteru Banzai!, Bokura wa Ima no Naka de","Snow halation, Sore wa Bokutachi no Kiseki","Angelic Angel, Bokutachi wa Hitotsu no Hikari","Mogyutto ""love"" de Sekkin Chuu!, Paradise Live, Shangri-La Shower, Soshite Saigo no Page ni wa, Takaramonozu","Diamond Princess no Yuuutsu, Natsu, Owaranai de.","Binetsu Kara Mystery, Shiranai Love*Oshiete Love","Eien Friends, Pure girls project, Sweet&sweet holiday","Beat in Angel, Listen to my heart!!, Soldier game","Ai wa Taiyou Ja Nai?, Arifureta Kanashimi no Hate, Koi no Signal Rin rin rin!, Mahoutsukai Hajimemashita!, Yume Naki Yume wa Yume ja nai",Shocking Party,Shangri-La Shower,"Angelic Angel, Snow halation, Yume no Tobira",Eli Ayase (VA Yoshino Nanjo),Yume Kataru yori Yume Utaou,Kimi no Kokoro wa Kagayaiteru kai?,,Daydream Warrior,"Guilty Night, Guilty Kiss!, Kowareyasuki","Tokimeki Bunruigaku, Torikoriko PLEASE!!",Yozora wa Nandemo Shitteru no?,,,,"Guilty Night, Guilty Kiss!",MY Mai?TONIGHT,Yoshiko Tsushima (Va Kobayashi Aika),,
"START:DASH!!, Susume?Tomorrow","Oh,Love&Peace!",Future style,"Super LOVE=Super LIVE!, Wonderful Rush","Cutie Panther, PSYCHIC FIRE, Trouble Busters","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Shiranai Love*Oshiete Love","Puwa Puwa-O!, Sweet&sweet holiday, UNBALANCED LOVE","Anemone heart, Soldier game","Blueberry?Train, Daring!!, Kururin MIRACLE, Someday of my life",Private Wars,Susume?Tomorrow,,Honoka Kousaka (VA Emi Nitta),Mijuku DREAMER,MY Mai?TONIGHT,Hop? Stop? Nonstop!,"Daydream Warrior, Koi ni Naritai AQUARIUM, Sunshine Pikkapika Ondo","Guilty Night, Guilty Kiss!, Kowareyasuki","INNOCENT BIRD, LONELY TUNING","P.S. no Mukougawa, Yozora wa Nandemo Shitteru no?",Waku-Waku-Week!,"In this unstable world, Oyasuminasan!",SELF CONTROL!!,Yozora wa Nandemo Shitteru no?,"Koi ni Naritai AQUARIUM, Mijuku DREAMER",Chika Takami (VA Inami Anju),"Diamond, Evergreen, Nemureru Mori ni Ikitai na",Setsuna Yuki (VA Tomori Kusunoki)
"Korekara no Someday, Susume?Tomorrow","KiRa-KiRa Sensation!, Snow halation","Angelic Angel, ??HEARTBEAT","Baby maybe Koi no Button, Music S.T.A.R.T!!, LONELIEST BABY, LOVELESS WORLD, Mermaid festa vol.1, Natsuiro Egao de 1,2,Jump!","Diamond Princess no Yuuutsu, Love Novels, PSYCHIC FIRE","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Shunjou Romantic","Eien Friends, Love marginal, UNBALANCED LOVE","Garasu no Hanazono, Mermaid festa vol.2 ~Passionate~, Storm in Lover","Niko puri?Joshi dou, Spicaterrible, Watashitachi wa Mirai no Hana",Shocking Party,A-NO-NE-GA-N-BA-RE!,"Korekara no Someday, Natsuiro Egao de 1,2,Jump!, SUNNY DAY SONG, Wonderful Rush, Yume no Tobira, ??HEARTBEAT",Rin Hoshizora (VA Riho Iida),"Aozora Jumping Heart, MIRAI TICKET","Kimi no Kokoro wa Kagayaiteru kai?, MY Mai?TONIGHT",Hop? Stop? Nonstop!,"Daydream Warrior, Hop?Step?Waai!, Koi ni Naritai AQUARIUM, Landing action Yeah!!, Thrilling?One Way","Guilty Eyes Fever, Shadow gate to love","GALAXY HidE and SeeK, INNOCENT BIRD","Kaigandoori de Matteru yo, Kinmirai Happy End","Manatsu wa Dare no Mono?, Natsu e no Tobira Never end ver.","In this unstable world, RED GEM WINK",DROPOUT!?,Thrilling?One Way,"HAPPY PARTY TRAIN, Hop? Stop? Nonstop!, Koi ni Naritai AQUARIUM, MIRAI TICKET, MY Mai?TONIGHT",Yoshiko Tsushima (Va Kobayashi Aika),,
"No brand girls, Wonder zone","Happy maker!, Yume no Tobira","Bokutachi wa Hitotsu no Hikari, SUNNY DAY SONG","Kaguya no Shiro de Odoritai, Music S.T.A.R.T!!, Natsuiro Egao de 1,2,Jump!, Ruteshi Kisuki Shiteru, Wonderful Rush","Cutie Panther, PSYCHIC FIRE, Trouble Busters","Binetsu Kara Mystery, Futari Happiness, Shunjou Romantic","NO EXIT ORION, UNBALANCED LOVE, WAO-WAO Powerful day!","After school NAVIGATORS, Garasu no Hanazono, Zurui yo Magnetic today","Junai Lens, Kururin MIRACLE, Mahoutsukai Hajimemashita!, Niko puri?Joshi dou, Watashitachi wa Mirai no Hana",Private Wars,Zurui yo Magnetic today,"Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete, Snow halation, START:DASH!!, Wonder zone, Wonderful Rush",Maki Nishikino (VA Pile),Mijuku DREAMER,"MY Mai?TONIGHT, WATER BLUE NEW WORLD",Hop? Stop? Nonstop!,"Aqours?HEROES, HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, Pops heart de Odorun damon!, Thrilling?One Way",Strawberry Trapper,"Tokimeki Bunruigaku, Torikoriko PLEASE!!",Genki Zenkai DAY! DAY! DAY!,G Senjou no Cinderella,"Oyasuminasan!, RED GEM WINK",SELF CONTROL!!,Koi ni Naritai AQUARIUM,"Koi ni Naritai AQUARIUM, MY Mai?TONIGHT, Omoi yo Hitotsu ni Nare, SELF CONTROL!!",Hanamaru Kunikida (Va Takatsuki Kanako),Yume e no Ippo,Setsuna Yuki (VA Tomori Kusunoki)
"No brand girls, Susume?Tomorrow","Snow halation, Yume no Tobira","Angelic Angel, Hello, Hoshi o Kazoete","Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, LONELIEST BABY, LOVELESS WORLD, Mermaid festa vol.1, WILD STARS","Cutie Panther, Diamond Princess no Yuuutsu, Saitei de Saikou no Paradiso","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Otohime Heart de Love Kyuuden","Love marginal, NO EXIT ORION, UNBALANCED LOVE","Anemone heart, Beat in Angel, Garasu no Hanazono","Ai wa Taiyou Ja Nai?, Daring!!, Kodoku na Heaven, Mou Hitori Ja Nai yo, Spicaterrible, Watashitachi wa Mirai no Hana",Shocking Party,A-NO-NE-GA-N-BA-RE!,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete, No brand girls, Snow halation, Yume no Tobira",Umi Sonoda (VA Suzuko Mimori),"Kimeta yo Hand in Hand, Mijuku DREAMER","MY Mai?TONIGHT, Yuuki wa doko ni? Kimi no Mune ni!","Hop? Stop? Nonstop!, Tousou Meisou Mobius Loop","Daydream Warrior, Jump up HIGH!!, Kimi no Hitomi o Meguru Bouken, SKY JOURNEY, Thrilling?One Way","Guilty Eyes Fever, Shadow gate to love","INNOCENT BIRD, Sotsugyou desu ne","Genki Zenkai DAY! DAY! DAY!, Yozora wa Nandemo Shitteru no?","G Senjou no Cinderella, Manatsu wa Dare no Mono?","New winding road, WHITE FIRST LOVE",Believe again,SKY JOURNEY,"HAPPY PARTY TRAIN, Hop? Stop? Nonstop!, Mijuku DREAMER, MY Mai?TONIGHT, WATER BLUE NEW WORLD, Yuuki wa doko ni? Kimi no Mune ni!",Mari Ohara (VA Suzuki Aina),"CHASE!, Meccha Going!!, Starlight",Setsuna Yuki (VA Tomori Kusunoki)
"Bokura wa Ima no Naka de, START:DASH!!","KiRa-KiRa Sensation!, Snow halation","Bokutachi wa Hitotsu no Hikari, SUNNY DAY SONG","Datte Datte Aa Mujou, Korekara, Music S.T.A.R.T!!, MOMENT RING, Natsuiro Egao de 1,2,Jump!, Wonderful Rush","Cutie Panther, PSYCHIC FIRE, Sakkaku CROSSROADS","Binetsu Kara Mystery, Omoide Ijou ni Naritakute, Shunjou Romantic","Eien Friends, Love marginal, NO EXIT ORION","Garasu no Hanazono, Soldier game, Zurui yo Magnetic today","Daring!!, Junai Lens, Kodoku na Heaven, Mou Hitori Ja Nai yo, Watashitachi wa Mirai no Hana, Yuuki no Reason",Private Wars,Bokutachi wa Hitotsu no Hikari,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Natsuiro Egao de 1,2,Jump!, Snow halation, START:DASH!!, SUNNY DAY SONG",Umi Sonoda (VA Suzuko Mimori),"Aozora Jumping Heart, Mijuku DREAMER","WATER BLUE NEW WORLD, Yuuki wa doko ni? Kimi no Mune ni!",Kiseki Hikaru,"Daydream Warrior, Kimi no Hitomi o Meguru Bouken, No.10, Thank you, FRIENDS!!, Thrilling?One Way","Guilty Eyes Fever, Kowareyasuki","GALAXY HidE and SeeK, INNOCENT BIRD","P.S. no Mukougawa, Sakura Bye Bye","Manatsu wa Dare no Mono?, Natsu no Owari no Amaoto ga","In this unstable world, Pianoforte Monologue",CRASH MIND,"Thank you, FRIENDS!!","Aozora Jumping Heart, Mijuku DREAMER, MIRACLE WAVE, MY Mai?TONIGHT, WATER BLUE NEW WORLD, WONDERFUL STORIES",Yoshiko Tsushima (Va Kobayashi Aika),"CHASE!, Diamond, Meccha Going!!",Setsuna Yuki (VA Tomori Kusunoki)
"Aishiteru Banzai!, START:DASH!!","Snow halation, Yume no Tobira","Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete","Datte Datte Aa Mujou, LONELIEST BABY, Mermaid festa vol.1, WILD STARS","Cutie Panther, Fuyu ga Kureta Yokan, PSYCHIC FIRE","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Onaji Hoshi ga Mitai","Love marginal, Pure girls project, Sweet&sweet holiday","After school NAVIGATORS, Listen to my heart!!, Soldier game","Daring!!, Koi no Signal Rin rin rin!, Kururin MIRACLE, Nawatobi, Niko puri?Joshi dou",Private Wars,"Hello, Hoshi o Kazoete","Angelic Angel, Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete, Kitto Seishun ga Kikoeru, Snow halation, Yume no Tobira",Umi Sonoda (VA Suzuko Mimori),"Daisuki dattara Daijoubu!, Omoi yo Hitotsu ni Nare","Awaken the power, MY Mai?TONIGHT",Hop? Stop? Nonstop!,"""MY LIST"" to you!, Daydream Warrior, Seinaru Hi no Inori, SKY JOURNEY, Thank you, FRIENDS!!","Guilty Night, Guilty Kiss!, Strawberry Trapper","Tokimeki Bunruigaku, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Yozora wa Nandemo Shitteru no?","Hajimari Road, Marine Border Parasol","One More Sunshine Story, WHITE FIRST LOVE",DROPOUT!?,"""MY LIST"" to you!","Hop? Stop? Nonstop!, Mirai no Bokura wa Shitteru yo, MY Mai?TONIGHT, WATER BLUE NEW WORLD, WONDERFUL STORIES, Yuuki wa doko ni? Kimi no Mune ni!",Yoshiko Tsushima (Va Kobayashi Aika),"Anata no Risou no Heroine, CHASE!, Yume e no Ippo",Karin Asaka (VA Miyu Kubota)
"Kitto Seishun ga Kikoeru, No brand girls","Snow halation, Sore wa Bokutachi no Kiseki","Bokutachi wa Hitotsu no Hikari, SUNNY DAY SONG","Kaguya no Shiro de Odoritai, LONELIEST BABY, Mermaid festa vol.1, MOMENT RING, Natsuiro Egao de 1,2,Jump!, Wonderful Rush","Cutie Panther, PSYCHIC FIRE","Otohime Heart de Love Kyuuden, Shunjou Romantic","NO EXIT ORION, Sweet&sweet holiday, UNBALANCED LOVE","Garasu no Hanazono, Mermaid festa vol.2 ~Passionate~, Soldier game","Ai wa Taiyou Ja Nai?, Daring!!, Spicaterrible",Shocking Party,Snow halation,"Angelic Angel, Bokura wa Ima no Naka de, Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete, Snow halation, Wonderful Rush",Umi Sonoda (VA Suzuko Mimori),"Omoi yo Hitotsu ni Nare, Yume Kataru yori Yume Utaou","WATER BLUE NEW WORLD, Yuuki wa doko ni? Kimi no Mune ni!","Brightest Melody, Kiseki Hikaru","Daydream Warrior, HAPPY PARTY TRAIN, Landing action Yeah!!, SKY JOURNEY, Thank you, FRIENDS!!","Guilty Eyes Fever, Strawberry Trapper","GALAXY HidE and SeeK, LONELY TUNING","Kinmirai Happy End, Yozora wa Nandemo Shitteru no?","Jimo Ai ? Mantan ? Summer Life, Manatsu wa Dare no Mono?","In this unstable world, Oyasuminasan!",Believe again,Manatsu wa Dare no Mono?,"Brightest Melody, HAPPY PARTY TRAIN, MY Mai?TONIGHT, WATER BLUE NEW WORLD, Yume Kataru yori Yume Utaou",Yoshiko Tsushima (Va Kobayashi Aika),"CHASE!, Nemureru Mori ni Ikitai na, Starlight",Karin Asaka (VA Miyu Kubota)
START:DASH!!,Snow halation,Angelic Angel,Mermaid festa vol.1,Cutie Panther,A-NO-NE-GA-N-BA-RE!,Love marginal,"Garasu no Hanazono, Soldier game, Zurui yo Magnetic today","Arifureta Kanashimi no Hate, Junai Lens, Moshimo Kara Kitto, Nawatobi, Niko puri?Joshi dou, Spicaterrible",Private Wars,Cutie Panther,Bokura no LIVE Kimi to no LIFE,Nozomi Toujou (VA Aina Kusuda),Aozora Jumping Heart,Awaken the power,Hop? Stop? Nonstop!,"Daydream Warrior, Koi ni Naritai AQUARIUM, Thrilling?One Way",Strawberry Trapper,GALAXY HidE and SeeK,Genki Zenkai DAY! DAY! DAY!,Jimo Ai ? Mantan ? Summer Life,"In this unstable world, Oyasuminasan!",SELF CONTROL!!,Koi ni Naritai AQUARIUM,Awaken the power,Yoshiko Tsushima (Va Kobayashi Aika),"CHASE!, Doki Pipo ? Emotion, Meccha Going!!",Rina Tennoji (VA Chiemi Tanaka)
Kitto Seishun ga Kikoeru,"Donna Toki mo Zutto, Snow halation","Angelic Angel, Bokutachi wa Hitotsu no Hikari","Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, LOVELESS WORLD, WILD STARS","Fuyu ga Kureta Yokan, Natsu, Owaranai de., Sakkaku CROSSROADS","Binetsu Kara Mystery, Onaji Hoshi ga Mitai, Otohime Heart de Love Kyuuden",MUSEUM de Dou Shitai?,"Anemone heart, Suki desu ga Suki desu ka?",Watashitachi wa Mirai no Hana,Shocking Party,Datte Datte Aa Mujou,"Angelic Angel, Korekara no Someday, Music S.T.A.R.T!!, Snow halation",Umi Sonoda (VA Suzuko Mimori),"Mijuku DREAMER, Yume Kataru yori Yume Utaou","MIRACLE WAVE, WATER BLUE NEW WORLD",Brightest Melody,"HAPPY PARTY TRAIN, Hop?Step?Waai!, Landing action Yeah!!, Thrilling?One Way",Kowareyasuki,"INNOCENT BIRD, Sotsugyou desu ne","Kinmirai Happy End, Yozora wa Nandemo Shitteru no?",Natsu no Owari no Amaoto ga,"One More Sunshine Story, WHITE FIRST LOVE",DROPOUT!?,Sotsugyou desu ne,"Awaken the power, HAPPY PARTY TRAIN, Mijuku DREAMER, MIRACLE WAVE, WATER BLUE NEW WORLD",Hanamaru Kunikida (Va Takatsuki Kanako),,
"Bokura wa Ima no Naka de, START:DASH!!","Donna Toki mo Zutto, Snow halation","Angelic Angel, Bokutachi wa Hitotsu no Hikari",LONELIEST BABY,"Fuyu ga Kureta Yokan, Saitei de Saikou no Paradiso, Sakkaku CROSSROADS","Otohime Heart de Love Kyuuden, Shiranai Love*Oshiete Love, Shunjou Romantic","NO EXIT ORION, UNBALANCED LOVE","Beat in Angel, Garasu no Hanazono, Soldier game","Arifureta Kanashimi no Hate, Daring!!, Junai Lens, Kodoku na Heaven, Spicaterrible, Watashitachi wa Mirai no Hana",Private Wars,Bokura wa Ima no Naka de,"Angelic Angel, Bokura wa Ima no Naka de, Bokutachi wa Hitotsu no Hikari, START:DASH!!",Umi Sonoda (VA Suzuko Mimori),"MIRAI TICKET, Yume Kataru yori Yume Utaou","WATER BLUE NEW WORLD, Yuuki wa doko ni? Kimi no Mune ni!","Bokura no Hashittekita Michi wa…, Brightest Melody","HAPPY PARTY TRAIN, Humming Friend, Jump up HIGH!!, Kimi no Hitomi o Meguru Bouken, Thank you, FRIENDS!!","Guilty Night, Guilty Kiss!, Guilty!? Farewell party","GALAXY HidE and SeeK, Tokimeki Bunruigaku","Kinmirai Happy End, Yozora wa Nandemo Shitteru no?","G Senjou no Cinderella, Manatsu wa Dare no Mono?","In this unstable world, Pianoforte Monologue",SELF CONTROL!!,WATER BLUE NEW WORLD,"HAPPY PARTY TRAIN, SELF CONTROL!!, WATER BLUE NEW WORLD",Yoshiko Tsushima (Va Kobayashi Aika),"CHASE!, Starlight",
"Aishiteru Banzai!, START:DASH!!","Dancing stars on me!, Oh,Love&Peace!","Angelic Angel, Hello, Hoshi o Kazoete","LONELIEST BABY, LOVELESS WORLD, Paradise Live, WILD STARS","Cutie Panther, Natsu, Owaranai de., PSYCHIC FIRE","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Shiranai Love*Oshiete Love","Love marginal, NO EXIT ORION, WAO-WAO Powerful day!","After school NAVIGATORS, Garasu no Hanazono, Soldier game","Blueberry?Train, Daring!!, Spicaterrible",Private Wars,PSYCHIC FIRE,"Angelic Angel, Dancing stars on me!, Future style, Love wing bell, No brand girls, START:DASH!!",Nico Yazawa (VA Tokui Sora),"MIRAI TICKET, Omoi yo Hitotsu ni Nare","MIRACLE WAVE, MY Mai?TONIGHT",,"HAPPY PARTY TRAIN, Jingle Bells ga Tomaranai, SKY JOURNEY, Thank you, FRIENDS!!","Kowareyasuki, Shadow gate to love","GALAXY HidE and SeeK, Torikoriko PLEASE!!",Genki Zenkai DAY! DAY! DAY!,"G Senjou no Cinderella, Hajimari Road","Oyasuminasan!, Sakana ka Nanda ka?",SELF CONTROL!!,SKY JOURNEY,"HAPPY PARTY TRAIN, MIRACLE WAVE, MY Mai?TONIGHT, Omoi yo Hitotsu ni Nare",Chika Takami (VA Inami Anju),Evergreen,Emma Verde (VA Maria Sashide)
"Kitto Seishun ga Kikoeru, START:DASH!!","Donna Toki mo Zutto, Sore wa Bokutachi no Kiseki","Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete","Dreamin' Go! Go!!, Music S.T.A.R.T!!, MOMENT RING, Sayounara e Sayonara!, SENTIMENTAL StepS, Shangri-La Shower","Love Novels, Natsu, Owaranai de., PSYCHIC FIRE","Binetsu Kara Mystery, Kimi no Kuse ni!, Shunjou Romantic","Love marginal, NO EXIT ORION, Pure girls project","Garasu no Hanazono, Soldier game, Storm in Lover","Arifureta Kanashimi no Hate, Mahoutsukai Hajimemashita!, Nawatobi, Senkou Resolution, Watashitachi wa Mirai no Hana, Yume Naki Yume wa Yume ja nai",Shocking Party,START:DASH!!,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete, Kitto Seishun ga Kikoeru, Music S.T.A.R.T!!, START:DASH!!",Umi Sonoda (VA Suzuko Mimori),"Daisuki dattara Daijoubu!, Yume Kataru yori Yume Utaou","WATER BLUE NEW WORLD, WONDERFUL STORIES","Bokura no Hashittekita Michi wa…, Brightest Melody","Jingle Bells ga Tomaranai, Mattete Ai no Uta, Seinaru Hi no Inori, Sunshine Pikkapika Ondo, Todokanai Hoshi da to Shitemo","Guilty Night, Guilty Kiss!, Kowareyasuki","GALAXY HidE and SeeK, INNOCENT BIRD","Genki Zenkai DAY! DAY! DAY!, Kaigandoori de Matteru yo","G Senjou no Cinderella, Hajimari Road","One More Sunshine Story, RED GEM WINK",SELF CONTROL!!,Daisuki dattara Daijoubu!,"Believe again, Bokura no Hashittekita Michi wa…, Brightest Melody, Daisuki dattara Daijoubu!, WATER BLUE NEW WORLD, WONDERFUL STORIES",Yoshiko Tsushima (Va Kobayashi Aika),"Diamond, TOKIMEKI Runners, Yume e no Ippo",Ayumu Uehara (VA Aguri Onishi)
"Aishiteru Banzai!, Susume?Tomorrow","Dancing stars on me!, Snow halation","Angelic Angel, ??HEARTBEAT","Baby maybe Koi no Button, LOVELESS WORLD, Mermaid festa vol.1, WILD STARS, Wonderful Rush, Yuujou No Change","Cutie Panther, Diamond Princess no Yuuutsu, PSYCHIC FIRE","A-NO-NE-GA-N-BA-RE!, Otohime Heart de Love Kyuuden, Shiranai Love*Oshiete Love","Love marginal, Nightingale Love Song, UNBALANCED LOVE","Beat in Angel, Soldier game, Zurui yo Magnetic today","Daring!!, Yuuki no Reason",Shocking Party,Daring!!,Wonder zone,Maki Nishikino (VA Pile),Aozora Jumping Heart,"MY Mai?TONIGHT, WATER BLUE NEW WORLD","Bokura no Hashittekita Michi wa…, Hop? Stop? Nonstop!","Daydream Warrior, HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, Step! ZERO to ONE, Thrilling?One Way","Kowareyasuki, Strawberry Trapper","GALAXY HidE and SeeK, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Yozora wa Nandemo Shitteru no?","G Senjou no Cinderella, Waku-Waku-Week!","Beginner's Sailing, In this unstable world",SELF CONTROL!!,Kowareyasuki,"HAPPY PARTY TRAIN, Kimeta yo Hand in Hand, Koi ni Naritai AQUARIUM, MY Mai?TONIGHT, SELF CONTROL!!",Yoshiko Tsushima (Va Kobayashi Aika),Starlight,Kanata Konoe (VA Akari Kito)
"No brand girls, START:DASH!!","Dancing stars on me!, Snow halation","Bokutachi wa Hitotsu no Hikari, ??HEARTBEAT","Baby maybe Koi no Button, HEART to HEART!, Natsuiro Egao de 1,2,Jump!, SENTIMENTAL StepS, Shangri-La Shower","Fuyu ga Kureta Yokan, Love Novels, PSYCHIC FIRE","Kimi no Kuse ni!, Onaji Hoshi ga Mitai, Shunjou Romantic","Love marginal, NO EXIT ORION, UNBALANCED LOVE","Beat in Angel, Garasu no Hanazono, Soldier game","Blueberry?Train, Daring!!, Nawatobi, Someday of my life, Watashitachi wa Mirai no Hana, Yuuki no Reason",Private Wars,,"Bokutachi wa Hitotsu no Hikari, Dancing stars on me!, Donna Toki mo Zutto, No brand girls, Snow halation, ??HEARTBEAT",Eli Ayase (VA Yoshino Nanjo),"Mijuku DREAMER, MIRAI TICKET","MIRACLE WAVE, MY Mai?TONIGHT",,"Daydream Warrior, Humming Friend, Koi ni Naritai AQUARIUM, Landing action Yeah!!, Thrilling?One Way","Guilty Night, Guilty Kiss!, Guilty!? Farewell party","GALAXY HidE and SeeK, Tokimeki Bunruigaku",Yozora wa Nandemo Shitteru no?,G Senjou no Cinderella,"In this unstable world, Pianoforte Monologue",SELF CONTROL!!,,"HAPPY PARTY TRAIN, Mijuku DREAMER, MIRACLE WAVE, MY Mai?TONIGHT, WATER BLUE NEW WORLD, Yuuki wa doko ni? Kimi no Mune ni!",Yoshiko Tsushima (Va Kobayashi Aika),,
